content_id,content_type,name,chapter,owner,work_item,dependencies,first_available_after,description,design_status,runtime_status,art_status,audio_status,test_status,evidence,asset_key,localization_key,release_gate
S1-O-SURVIVE,objective,守候突破,ALL,Mission Objectives,ST-S02,,START,在明示存活时段内保持生存；到达撤离窗口后完成任务，不要求每局必有Boss,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-o-survive,R01
S1-O-BREAK,objective,破阵,ALL,Mission Objectives,ST-S02,,START,破坏有限锚点；任务明确固定提示顺序或玩家自由选择，结合移动攻击与危险窗口,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-o-break,R01
S1-O-CLEANSE,objective,净化,ALL,Mission Objectives,ST-S02,,START,在若干区域维持清理窗口；受压离开可重新进入，避免一次失误全盘回退,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-o-cleanse,R01
S1-O-HUNT,objective,追猎,ALL,Mission Objectives,ST-S02,,START,追踪可见目标，限制其逃逸路线；目标越技术域必须恢复到合法挑战状态，不能无故判玩家失败,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-o-hunt,R01
S1-O-ESCORT,objective,护送,ALL,Mission Objectives,ST-S02,,START,护送自动沿短路线移动的目标；玩家接近才前进，离开停止，失败/恢复与目标HP需独立设计,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-o-escort,R01
S1-O-BOSS,objective,决战,ALL,Mission Objectives,ST-S02,,START,任务指定Boss死亡事实满足目标；不得将任意Boss死亡直接解释为全局或章节通关,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-o-boss,R01
S1-R01,region,岚壑,1,Stage & Map,L06,,START,林间顺风带会改变撤退路线,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-r01,content.s1-r01,R01
S1-S01-01,scene,断桥林道,1,Stage & Map,L06,S1-R01,START,林间顺风带会改变撤退路线,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-s01-01,content.s1-s01-01,R01
S1-S01-02,scene,风井遗址,1,Stage & Map,L06,S1-R01,START,林间顺风带会改变撤退路线,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-s01-02,content.s1-s01-02,R01
S1-CH01,chapter,第1章·岚壑,1,Campaign Flow,ST-S01,,START,找回沿途失联者，确认第一座枢纽失衡,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-ch01,R01
